No,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link,Accession
187,PDCD1,Programmed Cell Death 1,Protein Coding,48,GC02M241849,1.691524625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1,Q15116
188,CTLA4,Cytotoxic T-Lymphocyte Associated Protein 4,Protein Coding,46,GC02P203867,1.691524625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4,P16410
189,CD274,CD274 Molecule,Protein Coding,45,GC09P005450,1.691524625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274,Q9NZQ7
190,PTPRS,Protein Tyrosine Phosphatase Receptor Type S,Protein Coding,45,GC19M005157,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRS,Q13332
191,KDM4B,Lysine Demethylase 4B,Protein Coding,44,GC19P004969,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4B,O94953
192,SH3GL1,"SH3 Domain Containing GRB2 Like 1, Endophilin A2",Protein Coding,44,GC19M004360,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3GL1,Q99961
193,DPP9,Dipeptidyl Peptidase 9,Protein Coding,41,GC19M004675,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP9,Q86TI2
194,APBA3,Amyloid Beta Precursor Protein Binding Family A Member 3,Protein Coding,40,GC19M003750,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBA3,O96018
195,SAFB,Scaffold Attachment Factor B,Protein Coding,40,GC19P005623,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAFB,Q15424
196,SAFB2,Scaffold Attachment Factor B2,Protein Coding,37,GC19M005587,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAFB2,Q14151
197,MYDGF,Myeloid Derived Growth Factor,Protein Coding,34,GC19M004641,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYDGF,Q969H8
198,RAVER1,"Ribonucleoprotein, PTB Binding 1",Protein Coding,34,GC19M010316,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAVER1,Q8IY67
199,HSD11B1L,Hydroxysteroid 11-Beta Dehydrogenase 1 Like,Protein Coding,32,GC19P005680,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1L,Q7Z5J1
200,YJU2,YJU2 Splicing Factor Homolog,Protein Coding,23,GC19P004253,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YJU2,Q9BW85
202,ENSG00000249624,,Protein Coding,9,GC21P033246,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000249624,H0Y3Z8
211,ENSG00000267303,,Protein Coding,6,GC19M010315,1.688278675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000267303,K7EQG2
222,FPR1,Formyl Peptide Receptor 1,Protein Coding,48,GC19M051745,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FPR1,P21462
223,ATF4,Activating Transcription Factor 4,Protein Coding,47,GC22P039547,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF4,P18848
224,SERPING1,Serpin Family G Member 1,Protein Coding,47,GC11P057597,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPING1,P05155
225,IDO1,"Indoleamine 2,3-Dioxygenase 1",Protein Coding,45,GC08P039891,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDO1,P14902
226,SOD3,Superoxide Dismutase 3,Protein Coding,41,GC04P024798,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD3,P08294
227,CXCL3,C-X-C Motif Chemokine Ligand 3,Protein Coding,39,GC04M074036,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL3,P19876
228,FNDC5,Fibronectin Type III Domain Containing 5,Protein Coding,34,GC01M032866,1.688189864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNDC5,Q8NAU1
231,MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,52,GC22M021754,1.657149553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1,P28482
232,MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,50,GC16M031188,1.657149553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3,P27361
233,RSL24D1,Ribosomal L24 Domain Containing 1,Protein Coding,38,GC15M055180,1.657149553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSL24D1,Q9UHA3
234,AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,54,GC14M104769,1.616361618,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1,P31749
235,MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,49,GC01M011785,1.616361618,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR,P42898
236,SOCS3,Suppressor Of Cytokine Signaling 3,Protein Coding,45,GC17M078356,1.616361618,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS3,O14543
237,SOCS1,Suppressor Of Cytokine Signaling 1,Protein Coding,44,GC16M011255,1.616361618,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS1,O15524
238,PSME3,Proteasome Activator Subunit 3,Protein Coding,43,GC17P042824,1.616361618,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME3,P61289
239,KLRC1,Killer Cell Lectin Like Receptor C1,Protein Coding,41,GC12M015692,1.612214565,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRC1,P26715
240,IL13,Interleukin 13,Protein Coding,45,GC05P132656,1.550422192,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13,P35225
241,DICER1,"Dicer 1, Ribonuclease III",Protein Coding,48,GC14M095086,1.549007893,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1,Q9UPY3
242,ITGAM,Integrin Subunit Alpha M,Protein Coding,47,GC16P032553,1.549007893,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM,P11215
243,IGHMBP2,Immunoglobulin Mu DNA Binding Protein 2,Protein Coding,42,GC11P068903,1.549007893,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHMBP2,P38935
244,TK2,Thymidine Kinase 2,Protein Coding,42,GC16M066508,1.549007893,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TK2,O00142
245,TRIP4,Thyroid Hormone Receptor Interactor 4,Protein Coding,41,GC15P077081,1.549007893,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP4,Q15650
246,IFNL1,Interferon Lambda 1,Protein Coding,35,GC19P039296,1.477179646,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL1,Q8IU54
247,ERG,ETS Transcription Factor ERG,Protein Coding,46,GC21M038367,1.442952752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERG,P11308
248,CCL7,C-C Motif Chemokine Ligand 7,Protein Coding,42,GC17P034270,1.442952752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL7,P80098
249,TNNI1,"Troponin I1, Slow Skeletal Type",Protein Coding,41,GC01M201404,1.442952752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI1,P19237
250,TAS2R1,Taste 2 Receptor Member 1,Protein Coding,37,GC05M009630,1.442952752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAS2R1,Q9NYW7
251,PARP14,Poly(ADP-Ribose) Polymerase Family Member 14,Protein Coding,37,GC03P122680,1.442952752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP14,Q460N5
252,GSTT1,Glutathione S-Transferase Theta 1,Protein Coding,33,GC22Mi00270,1.442952752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTT1,P30711
253,SFTPD,Surfactant Protein D,Protein Coding,44,GC10M079937,1.439323187,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPD,P35247
254,RPS10,Ribosomal Protein S10,Protein Coding,45,GC06M047017,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10,P46783
255,RPS14,Ribosomal Protein S14,Protein Coding,45,GC05M150443,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS14,P62263
256,RPSA,Ribosomal Protein SA,Protein Coding,45,GC03P039406,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPSA,P08865
257,RPS12,Ribosomal Protein S12,Protein Coding,43,GC06P132814,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS12,P25398
258,RPS17,Ribosomal Protein S17,Protein Coding,43,GC15M082536,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS17,P08708
259,RPS5,Ribosomal Protein S5,Protein Coding,43,GC19P058386,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS5,P46782
260,RPS18,Ribosomal Protein S18,Protein Coding,41,GC06P055262,1.428041458,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS18,P62269
261,HADHA,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha,Protein Coding,47,GC02M026190,1.319899797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHA,P40939
262,ANPEP,"Alanyl Aminopeptidase, Membrane",Protein Coding,50,GC15M089784,1.303770781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANPEP,P15144
263,ITGB3,Integrin Subunit Beta 3,Protein Coding,50,GC17P047254,1.303770781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3,P05106
264,CCR5,C-C Motif Chemokine Receptor 5,Protein Coding,47,GC03P046383,1.303770781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5,P51681
265,MMP12,Matrix Metallopeptidase 12,Protein Coding,45,GC11M102862,1.303770781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP12,P39900
266,CXCL5,C-X-C Motif Chemokine Ligand 5,Protein Coding,41,GC04M073995,1.303770781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL5,P42830
267,CFTR,CF Transmembrane Conductance Regulator,Protein Coding,52,GC07P117287,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR,P13569
268,ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,51,GC19P010270,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1,P05362
269,MPO,Myeloperoxidase,Protein Coding,51,GC17M058269,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO,P05164
270,CD4,CD4 Molecule,Protein Coding,50,GC12P006786,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4,P01730
271,CD40LG,CD40 Ligand,Protein Coding,48,GC0XP136649,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG,P29965
272,PIK3C2A,Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Alpha,Protein Coding,48,GC11M017273,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2A,O00443
273,ELANE,"Elastase, Neutrophil Expressed",Protein Coding,47,GC19P000855,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE,P08246
274,CCR6,C-C Motif Chemokine Receptor 6,Protein Coding,45,GC06P167111,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6,P51684
275,IL5,Interleukin 5,Protein Coding,45,GC05M132541,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5,P05113
276,CCL11,C-C Motif Chemokine Ligand 11,Protein Coding,44,GC17P034285,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11,P51671
277,SFTPB,Surfactant Protein B,Protein Coding,44,GC02M085657,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPB,P07988
278,SFTPC,Surfactant Protein C,Protein Coding,44,GC08P022156,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPC,P11686
279,SCGB1A1,Secretoglobin Family 1A Member 1,Protein Coding,41,GC11P062405,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1A1,P11684
280,CCL3,C-C Motif Chemokine Ligand 3,Protein Coding,40,GC17M036088,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3,P10147
281,CCL17,C-C Motif Chemokine Ligand 17,Protein Coding,38,GC16P057403,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL17,Q92583
282,H2AC18,H2A Clustered Histone 18,Protein Coding,26,GC01M150124,1.26591444,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC18,Q6FI13
283,USP13,Ubiquitin Specific Peptidase 13,Protein Coding,45,GC03P179652,1.242031217,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP13,Q92995
284,CFD,Complement Factor D,Protein Coding,45,GC19P000859,1.176687121,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFD,P00746
285,IL17RA,Interleukin 17 Receptor A,Protein Coding,45,GC22P017116,1.166571498,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA,Q96F46
286,TOMM70,Translocase Of Outer Mitochondrial Membrane 70,Protein Coding,31,GC03M100364,1.166571498,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM70,O94826
287,IMPDH2,Inosine Monophosphate Dehydrogenase 2,Protein Coding,47,GC03M049439,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPDH2,P12268
288,EXOSC2,Exosome Component 2,Protein Coding,42,GC09P130693,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC2,Q13868
289,G3BP1,G3BP Stress Granule Assembly Factor 1,Protein Coding,41,GC05P151771,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=G3BP1,Q13283
290,RAE1,Ribonucleic Acid Export 1,Protein Coding,41,GC20P057351,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAE1,P78406
291,RBM28,RNA Binding Motif Protein 28,Protein Coding,39,GC07M128320,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM28,Q9NW13
292,MYCBP2,MYC Binding Protein 2,Protein Coding,38,GC13M077044,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCBP2,O75592
293,G3BP2,G3BP Stress Granule Assembly Factor 2,Protein Coding,37,GC04M075642,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=G3BP2,Q9UN86
294,MRPS27,Mitochondrial Ribosomal Protein S27,Protein Coding,37,GC05M072219,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS27,Q92552
295,AKAP8L,A-Kinase Anchoring Protein 8 Like,Protein Coding,36,GC19M015380,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP8L,Q9ULX6
296,LARP4B,La Ribonucleoprotein 4B,Protein Coding,33,GC10M000806,1.153027773,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP4B,Q92615
297,RAB7A,"RAB7A, Member RAS Oncogene Family",Protein Coding,49,GC03P131442,1.13253808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7A,P51149
298,CSNK2A2,Casein Kinase 2 Alpha 2,Protein Coding,48,GC16M058157,1.13253808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A2,P19784
299,NUP98,Nucleoporin 98 And 96 Precursor,Protein Coding,44,GC11M003671,1.13253808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP98,P52948
300,HLA-DRB1,"Major Histocompatibility Complex, Class II, DR Beta 1",Protein Coding,48,GC06M032578,1.034318686,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1,P01911
301,GOT1,Glutamic-Oxaloacetic Transaminase 1,Protein Coding,47,GC10M099396,1.033868313,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOT1,P17174
302,PIK3CD,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta",Protein Coding,54,GC01P009629,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD,O00329
303,IKBKB,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Protein Coding,53,GC08P042271,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKB,O14920
304,PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,53,GC03P179148,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA,P42336
305,MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,52,GC04M085990,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10,P53779
306,MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,52,GC06P055339,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14,Q16539
307,NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,52,GC04P102501,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1,P19838
308,CHUK,Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex,Protein Coding,52,GC10M100188,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHUK,O15111
309,MMP1,Matrix Metallopeptidase 1,Protein Coding,52,GC11M102810,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1,P03956
310,PRKCA,Protein Kinase C Alpha,Protein Coding,52,GC17P066302,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA,P17252
311,PRKCG,Protein Kinase C Gamma,Protein Coding,52,GC19P053879,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCG,P05129
312,PLCG2,Phospholipase C Gamma 2,Protein Coding,52,GC16P081773,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCG2,P16885
313,FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,51,GC14P075278,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS,P01100
314,MAP3K7,Mitogen-Activated Protein Kinase Kinase Kinase 7,Protein Coding,51,GC06M090513,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K7,O43318
315,MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,51,GC10P048306,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8,P45983
316,NFKBIA,NFKB Inhibitor Alpha,Protein Coding,51,GC14M035401,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA,P25963
317,CASP1,Caspase 1,Protein Coding,51,GC11M105025,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1,P29466
318,AGTR1,Angiotensin II Receptor Type 1,Protein Coding,51,GC03P148697,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1,P30556
319,SYK,Spleen Associated Tyrosine Kinase,Protein Coding,51,GC09P091373,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYK,P43405
320,PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,51,GC05P068215,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1,P27986
321,RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,51,GC11M065653,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA,Q04206
322,IRAK1,Interleukin 1 Receptor Associated Kinase 1,Protein Coding,50,GC0XM154010,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1,P51617
323,PIK3CB,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta",Protein Coding,50,GC03M138652,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB,P42338
324,PIK3R2,Phosphoinositide-3-Kinase Regulatory Subunit 2,Protein Coding,50,GC19P018153,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R2,O00459
325,MAPK12,Mitogen-Activated Protein Kinase 12,Protein Coding,49,GC22M050246,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK12,P53778
326,MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,49,GC05M180234,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9,P45984
327,FGG,Fibrinogen Gamma Chain,Protein Coding,49,GC04M154604,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGG,P02679
328,PLCG1,Phospholipase C Gamma 1,Protein Coding,49,GC20P041136,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCG1,P19174
329,RPL11,Ribosomal Protein L11,Protein Coding,49,GC01P023691,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL11,P62913
330,RPS19,Ribosomal Protein S19,Protein Coding,49,GC19P041859,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS19,P39019
331,C3,Complement C3,Protein Coding,48,GC19M006677,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3,P01024
332,IRAK4,Interleukin 1 Receptor Associated Kinase 4,Protein Coding,48,GC12P043758,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK4,Q9NWZ3
333,MAPK11,Mitogen-Activated Protein Kinase 11,Protein Coding,48,GC22M050263,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK11,Q15759
334,MAPK13,Mitogen-Activated Protein Kinase 13,Protein Coding,48,GC06P055340,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK13,O15264
335,IKBKG,Inhibitor Of Nuclear Factor Kappa B Kinase Regulatory Subunit Gamma,Protein Coding,48,GC0XP154541,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKG,Q9Y6K9
336,TRAF3,TNF Receptor Associated Factor 3,Protein Coding,48,GC14P106036,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3,Q13114
337,TAB2,TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 2,Protein Coding,48,GC06P149218,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAB2,Q9NYJ8
338,PRKCB,Protein Kinase C Beta,Protein Coding,48,GC16P023967,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCB,P05771
339,RPL5,Ribosomal Protein L5,Protein Coding,48,GC01P092832,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL5,P46777
340,C1QA,Complement C1q A Chain,Protein Coding,47,GC01P022636,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QA,P02745
341,C1R,Complement C1r,Protein Coding,47,GC12M007196,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1R,P00736
342,MASP1,MBL Associated Serine Protease 1,Protein Coding,47,GC03M187216,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MASP1,P48740
343,IL6ST,Interleukin 6 Cytokine Family Signal Transducer,Protein Coding,47,GC05M055935,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6ST,P40189
344,MASP2,MBL Associated Serine Protease 2,Protein Coding,47,GC01M011026,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MASP2,O00187
345,FGB,Fibrinogen Beta Chain,Protein Coding,47,GC04P154572,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGB,P02675
346,F13A1,Coagulation Factor XIII A Chain,Protein Coding,47,GC06M006144,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13A1,P00488
347,CYBB,Cytochrome B-245 Beta Chain,Protein Coding,47,GC0XP037780,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB,P04839
